title,price,link
kemeja christian dior striped garis garis /prada/balenciaga/issey/,,https://www.carousell.com/p/kemeja-christian-dior-striped-garis-garis-prada-balenciaga-issey-1436981103/?t-id=Q_Uot1bSAh_1778343077066&t-referrer_browse_type=seller&t-referrer_page_type=profile&t-referrer_request_id=IbFLFgdsiSR6vuF1&t-tap_index=0
kemeja orange soda kr double pocket /uniqlo/zara/hnm/,,https://www.carousell.com/p/kemeja-orange-soda-kr-double-pocket-uniqlo-zara-hnm-1436980709/?t-id=Q_Uot1bSAh_1778343077066&t-referrer_browse_type=seller&t-referrer_page_type=profile&t-referrer_request_id=IbFLFgdsiSR6vuF1&t-tap_index=1
kemeja polo ralph lauren striped garis garis /burberrys/prada/balenciaga/uniqlo/,,https://www.carousell.com/p/kemeja-polo-ralph-lauren-striped-garis-garis-burberrys-prada-balenciaga-uniqlo-1436980415/?t-id=Q_Uot1bSAh_1778343077066&t-referrer_browse_type=seller&t-referrer_page_type=profile&t-referrer_request_id=IbFLFgdsiSR6vuF1&t-tap_index=2
kemeja calvin klein jeans /uniqlo/zara/hnm/,,https://www.carousell.com/p/kemeja-calvin-klein-jeans-uniqlo-zara-hnm-1436980108/?t-id=Q_Uot1bSAh_1778343077066&t-referrer_browse_type=seller&t-referrer_page_type=profile&t-referrer_request_id=IbFLFgdsiSR6vuF1&t-tap_index=3
kemeja gu open collar /uniqlo/zara/hnm/,,https://www.carousell.com/p/kemeja-gu-open-collar-uniqlo-zara-hnm-1436979814/?t-id=Q_Uot1bSAh_1778343077066&t-referrer_browse_type=seller&t-referrer_page_type=profile&t-referrer_request_id=IbFLFgdsiSR6vuF1&t-tap_index=4
kemeja armani exchange /issey/uniqlo/zara/,,https://www.carousell.com/p/kemeja-armani-exchange-issey-uniqlo-zara-1436979553/?t-id=Q_Uot1bSAh_1778343077066&t-referrer_browse_type=seller&t-referrer_page_type=profile&t-referrer_request_id=IbFLFgdsiSR6vuF1&t-tap_index=5
kemeja uniqlo bahanya cakep /zara/hnm/gap/,,https://www.carousell.com/p/kemeja-uniqlo-bahanya-cakep-zara-hnm-gap-1436979273/?t-id=Q_Uot1bSAh_1778343077066&t-referrer_browse_type=seller&t-referrer_page_type=profile&t-referrer_request_id=IbFLFgdsiSR6vuF1&t-tap_index=6
kemeja batik lengan pendek /keris/semar/uniqlo/zara/,,https://www.carousell.com/p/kemeja-batik-lengan-pendek-keris-semar-uniqlo-zara-1436978975/?t-id=Q_Uot1bSAh_1778343077066&t-referrer_browse_type=seller&t-referrer_page_type=profile&t-referrer_request_id=IbFLFgdsiSR6vuF1&t-tap_index=7
kemeja checkered global work cakep /uniqlo/zara/hnm/,,https://www.carousell.com/p/kemeja-checkered-global-work-cakep-uniqlo-zara-hnm-1436978655/?t-id=Q_Uot1bSAh_1778343077066&t-referrer_browse_type=seller&t-referrer_page_type=profile&t-referrer_request_id=IbFLFgdsiSR6vuF1&t-tap_index=8
kemeja chambray dkny /uniqlo/zara/hnm/,,https://www.carousell.com/p/kemeja-chambray-dkny-uniqlo-zara-hnm-1436978300/?t-id=Q_Uot1bSAh_1778343077066&t-referrer_browse_type=seller&t-referrer_page_type=profile&t-referrer_request_id=IbFLFgdsiSR6vuF1&t-tap_index=9
